epoch,train_mse_norm,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,best_val_mse_norm,best_epoch
1,0.008141493669442706,0.09039097051351082,0.22199820968665568,0.2735923293556277,-0.4489468658274747,0.09039097051351082,1
5,0.007718819414533801,0.08658238946984896,0.21853611310845922,0.26776645928865306,-0.38789617088401274,0.08658238946984896,5
10,0.007326662429939892,0.08322319254213689,0.2161879552038092,0.2625207148857848,-0.334049001941644,0.08322319254213689,10
15,0.006713577680352886,0.08438256198235064,0.217636441886425,0.26434295825231385,-0.35263343252348833,0.08322319254213689,10
20,0.004990078256291859,0.08468003247050467,0.21799444736618745,0.26480848719182865,-0.35740181734155496,0.08322319254213689,10
25,0.0031770677542534926,0.08172864916396443,0.2163411281767644,0.2601528288769487,-0.31009180874697106,0.08172864916396443,25
30,0.0024842975968968565,0.08127042742709914,0.21541661350350638,0.2594225143513585,-0.30274661767630207,0.08127042742709914,30
35,0.0022599625823451048,0.07757562718066274,0.20845906831716232,0.2534568540566753,-0.243519803244296,0.07757562718066274,35
40,0.0020817622238517566,0.0762551300850849,0.20370652394859415,0.2512904160994979,-0.22235253269611888,0.0762551300850849,40
45,0.0019847362665301664,0.07489213951562665,0.20106196889751835,0.24903449707398054,-0.2005041013478377,0.07489213951562665,45
50,0.0019239273427401559,0.07763471877776315,0.20255478982862676,0.25355336838595866,-0.24446702821520794,0.07489213951562665,45
55,0.0018947665013325542,0.08452936146235875,0.20954527596109787,0.2645727957046591,-0.35498659507119057,0.07489213951562665,45
60,0.0018741530188659237,0.09413765645574619,0.22020926423762974,0.2792049306710098,-0.509005396258126,0.07489213951562665,45
