model,seed,best_epoch,val_mse_norm,val_mae_raw,val_rmse_raw,val_r2_raw,test_mse_norm,test_mae_raw,test_rmse_raw,test_r2_raw
Liquid-ODE (Euler),0,1,0.0003098286467459415,0.05077470662918955,0.06688741031772268,0.9517394164746439,0.00040927143963341155,0.06517158843750177,0.07687574122118408,0.9560797494104444
Liquid-ODE (Euler),1,1,0.0008422106001893577,0.0876908147876913,0.11027928666224826,0.8688127277988338,0.0007004062657562306,0.08192111073538313,0.10056772085276654,0.9248371234160331
Liquid-ODE (Euler),2,1,0.0005793815031940017,0.07152071642604739,0.09146731058756118,0.9097524075917077,0.0008683185433209176,0.09260918193085252,0.11197553199495887,0.9068179102642194
Liquid-ODE (Euler),3,10,0.0008487184948447216,0.08820505067706105,0.11070453949842245,0.8677990229755772,0.0007530662121069844,0.08543060491251392,0.10427979719401481,0.9191860131361922
Liquid-ODE (Euler),4,1,0.0002506503106996768,0.046017797833139244,0.060161370384187,0.9609573537430277,0.00033541110738990825,0.05971553658330162,0.06959408301508307,0.9640059421192934
Liquid-ODE (dopri5),0,1,0.0003123822438353609,0.051046478070995986,0.06716248656044986,0.9513416543989986,0.00041302260914803884,0.06555257855459701,0.07722723921064176,0.9556771991977202
Liquid-ODE (dopri5),1,1,0.0008368906523167453,0.08740936314517801,0.10993043718394739,0.869641391614634,0.0006969289549304252,0.08167027512262036,0.1003177656708688,0.9252102849612999
Liquid-ODE (dopri5),2,1,0.0005734509615018636,0.07118773142045194,0.09099797736261454,0.9106761807988983,0.0008676875290731387,0.09246615129847861,0.11193483782905178,0.9068856264574453
Liquid-ODE (dopri5),3,10,0.000849611365284255,0.08830505325035615,0.11076275599092253,0.8676599446531658,0.0007597916434349868,0.0858520696329516,0.10474440954629136,0.918464285205425
Liquid-ODE (dopri5),4,1,0.0002494802067375603,0.04590261476961048,0.06002078127857357,0.9611396154563656,0.0003404236098770745,0.06020048385442688,0.07011217388317775,0.9634680341589571
Liquid-ODE +physics(logistic-only),0,1,0.00031200575997246784,0.053936508297920224,0.06712200216026361,0.9514002975590224,0.0004090962801243129,0.06653034784073052,0.07685928886605103,0.9560985463476057
Liquid-ODE +physics(logistic-only),1,260,0.0005183894118562238,0.06571675274859773,0.08651903320775069,0.9192528651811142,0.0003431439110330467,0.057446722790252334,0.07039174721028875,0.9631761097858409
Liquid-ODE +physics(logistic-only),2,1,0.0003009838293115307,0.04954231618480247,0.06592576503354738,0.9531171330126177,0.0004446362751117843,0.06441356927849529,0.08012832091473132,0.9522846337833686
Liquid-ODE +physics(logistic-only),3,160,0.0005126389393393231,0.06599750044670971,0.08603781891737973,0.9201485898409443,0.00032832246955695124,0.05753339764683747,0.0688547490039894,0.9647666469225431
Liquid-ODE +physics(logistic-only),4,1,0.00022058739687813578,0.04318151704289693,0.05643830269347473,0.9656401155816701,0.00034652523843745514,0.06045109033584594,0.07073771584548691,0.9628132485340029
